BirthDate,Age,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,YearFirstPurchase,CommuteDistance,StateProvinceCode,StateProvinceName,CountryRegionCode,RegionName,SalesTerritoryKey,CustomerKey,ProductCategoryKey,ProductCategory,ProductSubcategoryKey,ProductSubcategoryName,ProductKey,ModelName
8/20/1984,34,S,M,20000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,NSW,New South Wales,AU,Australia,9,20819,1,Bikes,2,Road Bikes,310,Road-150
2/18/1942,77,M,F,130000,2,3,Graduate Degree,Management,1,3,2011,0-1 Miles,CA,California,US,United States,4,12181,1,Bikes,2,Road Bikes,313,Road-150
5/21/1963,55,M,M,40000,1,0,Partial College,Clerical,1,1,2011,1-2 Miles,CA,California,US,United States,4,12441,1,Bikes,2,Road Bikes,314,Road-150
9/21/1982,36,M,F,10000,0,0,High School,Manual,0,2,2011,0-1 Miles,VIC,Victoria,AU,Australia,9,20988,1,Bikes,2,Road Bikes,312,Road-150
8/13/1951,67,S,F,10000,5,0,High School,Skilled Manual,0,2,2011,0-1 Miles,NSW,New South Wales,AU,Australia,9,12021,1,Bikes,1,Mountain Bikes,344,Mountain-100
11/1/1946,72,S,M,10000,2,0,Partial College,Manual,1,1,2011,1-2 Miles,92,Hauts de Seine,FR,France,7,13511,1,Bikes,2,Road Bikes,313,Road-150
7/18/1959,59,S,F,40000,3,0,Partial High School,Clerical,1,2,2011,5-10 Miles,NSW,New South Wales,AU,Australia,9,25949,1,Bikes,2,Road Bikes,336,Road-650
11/8/1976,42,S,F,60000,1,0,Graduate Degree,Skilled Manual,1,0,2011,1-2 Miles,CA,California,US,United States,4,12884,1,Bikes,2,Road Bikes,311,Road-150
7/2/1952,66,S,M,90000,5,0,Bachelors,Management,1,2,2011,5-10 Miles,CA,California,US,United States,4,12362,1,Bikes,2,Road Bikes,313,Road-150
4/8/1961,58,M,F,40000,1,0,Partial College,Clerical,1,1,2011,0-1 Miles,CA,California,US,United States,4,12435,1,Bikes,2,Road Bikes,312,Road-150
10/7/1983,35,S,F,40000,0,0,High School,Skilled Manual,0,2,2011,0-1 Miles,BC,British Columbia,CA,Canada,6,24496,1,Bikes,2,Road Bikes,313,Road-150
10/10/1965,53,M,F,130000,4,3,Bachelors,Management,1,3,2011,0-1 Miles,CA,California,US,United States,4,26107,1,Bikes,1,Mountain Bikes,344,Mountain-100
12/23/1967,51,M,F,70000,1,0,Partial College,Skilled Manual,1,1,2011,0-1 Miles,BC,British Columbia,CA,Canada,6,20182,1,Bikes,1,Mountain Bikes,350,Mountain-100
8/30/1975,43,M,F,120000,0,5,Partial High School,Professional,1,4,2011,10+ Miles,NSW,New South Wales,AU,Australia,9,20629,1,Bikes,2,Road Bikes,311,Road-150
2/19/1959,60,S,F,120000,2,5,Bachelors,Management,1,2,2011,10+ Miles,SL,Saarland,DE,Germany,8,11428,1,Bikes,1,Mountain Bikes,345,Mountain-100
9/22/1957,61,M,F,10000,3,0,Partial College,Manual,0,2,2011,0-1 Miles,75,Seine (Paris),FR,France,7,13564,1,Bikes,2,Road Bikes,314,Road-150
8/12/1974,44,M,M,50000,2,2,Bachelors,Skilled Manual,1,0,2011,2-5 Miles,OR,Oregon,US,United States,1,12901,1,Bikes,2,Road Bikes,310,Road-150
8/12/1985,33,S,M,40000,0,0,Partial High School,Clerical,0,2,2011,1-2 Miles,CA,California,US,United States,4,15016,1,Bikes,2,Road Bikes,342,Road-650
6/5/1982,36,M,M,10000,1,1,High School,Manual,1,0,2011,2-5 Miles,VIC,Victoria,AU,Australia,9,20991,1,Bikes,2,Road Bikes,312,Road-150
9/19/1984,34,S,M,20000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,QLD,Queensland,AU,Australia,9,20996,1,Bikes,2,Road Bikes,313,Road-150
10/7/1982,36,M,M,20000,0,0,Partial College,Manual,1,0,2011,0-1 Miles,QLD,Queensland,AU,Australia,9,12251,1,Bikes,1,Mountain Bikes,348,Mountain-100
4/7/1981,38,S,M,70000,0,0,Bachelors,Professional,0,2,2011,5-10 Miles,NSW,New South Wales,AU,Australia,9,12337,1,Bikes,1,Mountain Bikes,347,Mountain-100
8/13/1964,54,S,M,20000,2,0,Partial College,Manual,1,1,2011,1-2 Miles,HE,Hessen,DE,Germany,8,15054,1,Bikes,2,Road Bikes,313,Road-150
11/4/1966,52,M,M,170000,1,0,Graduate Degree,Management,0,4,2011,2-5 Miles,CA,California,US,United States,4,12174,1,Bikes,2,Road Bikes,313,Road-150
10/5/1983,35,S,M,10000,0,0,Partial College,Manual,0,1,2011,0-1 Miles,VIC,Victoria,AU,Australia,9,20817,1,Bikes,2,Road Bikes,313,Road-150
8/5/1977,41,M,F,120000,0,5,Partial High School,Professional,0,4,2011,10+ Miles,NSW,New South Wales,AU,Australia,9,20621,1,Bikes,2,Road Bikes,312,Road-150
2/16/1965,54,M,M,30000,3,0,Graduate Degree,Clerical,1,0,2011,0-1 Miles,ENG,England,GB,United Kingdom,10,15661,1,Bikes,2,Road Bikes,312,Road-150
12/2/1980,38,M,M,30000,0,0,Partial College,Clerical,0,1,2011,0-1 Miles,NW,Nordrhein-Westfalen,DE,Germany,8,14997,1,Bikes,2,Road Bikes,314,Road-150
11/21/1965,53,M,F,30000,3,0,Bachelors,Clerical,1,0,2011,0-1 Miles,ENG,England,GB,United Kingdom,10,15662,1,Bikes,2,Road Bikes,314,Road-150
4/10/1985,34,M,M,10000,1,1,High School,Manual,1,0,2011,2-5 Miles,VIC,Victoria,AU,Australia,9,12246,1,Bikes,1,Mountain Bikes,351,Mountain-100
10/22/1960,58,M,F,40000,1,0,Partial College,Clerical,1,1,2011,0-1 Miles,WA,Washington,US,United States,1,12772,1,Bikes,2,Road Bikes,312,Road-150
11/19/1961,57,M,M,40000,1,0,Partial College,Clerical,1,1,2011,1-2 Miles,WA,Washington,US,United States,1,12777,1,Bikes,2,Road Bikes,312,Road-150
11/9/1985,33,M,F,10000,0,0,Partial College,Manual,0,1,2011,0-1 Miles,VIC,Victoria,AU,Australia,9,20984,1,Bikes,2,Road Bikes,312,Road-150
10/6/1982,36,S,F,10000,1,1,High School,Manual,0,0,2011,1-2 Miles,QLD,Queensland,AU,Australia,9,12250,1,Bikes,1,Mountain Bikes,344,Mountain-100
1/23/1967,52,M,F,60000,1,0,Partial College,Skilled Manual,1,1,2011,5-10 Miles,QLD,Queensland,AU,Australia,9,12007,1,Bikes,1,Mountain Bikes,345,Mountain-100
1/31/1963,56,M,F,40000,1,0,Partial College,Clerical,1,1,2011,1-2 Miles,CA,California,US,United States,4,12446,1,Bikes,2,Road Bikes,314,Road-150
7/14/1946,72,M,M,130000,2,3,Bachelors,Management,1,4,2011,0-1 Miles,CA,California,US,United States,4,12709,1,Bikes,2,Road Bikes,310,Road-150
2/7/1959,60,M,M,70000,3,0,Graduate Degree,Management,1,2,2011,5-10 Miles,WA,Washington,US,United States,1,26112,1,Bikes,1,Mountain Bikes,349,Mountain-100
2/10/1982,37,M,M,100000,0,5,High School,Management,1,4,2011,10+ Miles,NSW,New South Wales,AU,Australia,9,20626,1,Bikes,2,Road Bikes,313,Road-150
8/16/1985,33,S,M,10000,0,0,Partial College,Manual,0,1,2011,0-1 Miles,NSW,New South Wales,AU,Australia,9,20812,1,Bikes,2,Road Bikes,310,Road-150
4/20/1981,38,M,F,40000,0,0,Graduate Degree,Clerical,1,0,2011,0-1 Miles,ENG,England,GB,United Kingdom,10,15669,1,Bikes,2,Road Bikes,314,Road-150
8/9/1954,64,M,M,10000,2,1,High School,Skilled Manual,1,2,2011,5-10 Miles,VIC,Victoria,AU,Australia,9,12014,1,Bikes,1,Mountain Bikes,346,Mountain-100
4/11/1960,59,S,M,40000,3,0,Partial High School,Clerical,1,2,2011,5-10 Miles,VIC,Victoria,AU,Australia,9,25947,1,Bikes,2,Road Bikes,324,Road-650
10/18/1966,52,M,F,40000,1,0,Partial College,Clerical,1,1,2011,0-1 Miles,CA,California,US,United States,4,12771,1,Bikes,2,Road Bikes,310,Road-150
6/16/1966,52,S,M,170000,1,1,Graduate Degree,Management,0,2,2011,0-1 Miles,CA,California,US,United States,4,12190,1,Bikes,2,Road Bikes,313,Road-150
10/15/1966,52,S,F,80000,5,0,Graduate Degree,Skilled Manual,1,0,2011,1-2 Miles,CA,California,US,United States,4,12438,1,Bikes,2,Road Bikes,312,Road-150
2/22/1984,35,M,M,20000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,SA,South Australia,AU,Australia,9,20821,1,Bikes,2,Road Bikes,311,Road-150
9/4/1958,60,S,F,30000,2,0,Partial College,Clerical,1,2,2011,5-10 Miles,VIC,Victoria,AU,Australia,9,12013,1,Bikes,1,Mountain Bikes,345,Mountain-100
5/4/1960,59,M,F,80000,4,2,Partial College,Professional,0,1,2011,2-5 Miles,HH,Hamburg,DE,Germany,8,11423,1,Bikes,1,Mountain Bikes,348,Mountain-100
8/11/1982,36,M,M,60000,1,0,Graduate Degree,Skilled Manual,1,0,2011,0-1 Miles,CA,California,US,United States,4,12885,1,Bikes,2,Road Bikes,310,Road-150
3/8/1976,43,M,F,50000,1,1,Bachelors,Skilled Manual,1,0,2011,2-5 Miles,CA,California,US,United States,4,12898,1,Bikes,2,Road Bikes,311,Road-150
9/16/1972,46,S,F,40000,0,0,Bachelors,Professional,0,1,2011,2-5 Miles,WA,Washington,US,United States,1,12915,1,Bikes,2,Road Bikes,311,Road-150
3/17/1942,77,S,F,50000,2,0,Graduate Degree,Management,1,2,2011,1-2 Miles,OR,Oregon,US,United States,1,12180,1,Bikes,2,Road Bikes,314,Road-150
12/11/1959,59,M,F,60000,2,0,Partial High School,Skilled Manual,1,2,2011,5-10 Miles,BC,British Columbia,CA,Canada,6,24431,1,Bikes,2,Road Bikes,311,Road-150
3/1/1962,57,S,M,110000,2,4,Partial College,Professional,1,4,2011,5-10 Miles,75,Seine (Paris),FR,France,7,19033,1,Bikes,2,Road Bikes,332,Road-650
4/6/1974,45,M,F,40000,1,0,Partial College,Clerical,1,1,2011,1-2 Miles,OR,Oregon,US,United States,1,14915,1,Bikes,2,Road Bikes,322,Road-650
9/4/1983,35,S,M,30000,4,4,Partial College,Clerical,1,1,2011,0-1 Miles,HH,Hamburg,DE,Germany,8,14979,1,Bikes,2,Road Bikes,310,Road-150
9/11/1983,35,S,M,10000,1,1,High School,Manual,0,0,2011,1-2 Miles,VIC,Victoria,AU,Australia,9,12248,1,Bikes,1,Mountain Bikes,344,Mountain-100
9/30/1979,39,S,M,30000,3,3,Partial College,Clerical,1,0,2011,0-1 Miles,HE,Hessen,DE,Germany,8,14969,1,Bikes,2,Road Bikes,311,Road-150
4/17/1958,61,S,M,20000,2,1,Partial High School,Clerical,1,2,2011,5-10 Miles,VIC,Victoria,AU,Australia,9,25944,1,Bikes,2,Road Bikes,342,Road-650
9/12/1959,59,M,F,130000,4,5,High School,Professional,1,2,2011,10+ Miles,ENG,England,GB,United Kingdom,10,20575,1,Bikes,2,Road Bikes,322,Road-650
5/4/1960,59,M,M,70000,3,1,High School,Professional,1,0,2011,1-2 Miles,WA,Washington,US,United States,1,26110,1,Bikes,1,Mountain Bikes,350,Mountain-100
1/31/1963,56,S,F,80000,1,0,Partial College,Skilled Manual,1,1,2011,5-10 Miles,NSW,New South Wales,AU,Australia,9,12009,1,Bikes,1,Mountain Bikes,346,Mountain-100
10/20/1961,57,M,M,20000,2,1,Partial High School,Clerical,1,2,2011,5-10 Miles,VIC,Victoria,AU,Australia,9,25939,1,Bikes,2,Road Bikes,326,Road-650
11/23/1959,59,M,M,30000,1,0,High School,Clerical,1,1,2011,2-5 Miles,CA,California,US,United States,4,12768,1,Bikes,2,Road Bikes,310,Road-150
2/14/1964,55,S,M,70000,3,0,Graduate Degree,Management,1,2,2011,5-10 Miles,CA,California,US,United States,4,26114,1,Bikes,1,Mountain Bikes,347,Mountain-100
11/29/1977,41,M,F,130000,4,5,High School,Management,1,4,2011,0-1 Miles,NSW,New South Wales,AU,Australia,9,20623,1,Bikes,2,Road Bikes,313,Road-150
5/25/1984,34,S,M,10000,0,0,Partial College,Manual,1,1,2011,2-5 Miles,NSW,New South Wales,AU,Australia,9,12245,1,Bikes,1,Mountain Bikes,346,Mountain-100
5/5/1977,42,S,F,60000,1,0,Graduate Degree,Skilled Manual,1,0,2011,1-2 Miles,CA,California,US,United States,4,12883,1,Bikes,2,Road Bikes,312,Road-150
12/9/1971,47,M,M,40000,1,0,Partial College,Clerical,1,1,2011,0-1 Miles,OR,Oregon,US,United States,1,12437,1,Bikes,2,Road Bikes,312,Road-150
3/31/1981,38,S,F,40000,3,3,Partial College,Clerical,1,0,2011,1-2 Miles,CA,California,US,United States,4,12755,1,Bikes,2,Road Bikes,313,Road-150
10/19/1968,50,M,M,130000,3,4,Partial College,Professional,1,3,2011,5-10 Miles,SL,Saarland,DE,Germany,8,19901,1,Bikes,2,Road Bikes,332,Road-650
10/14/1968,50,M,F,40000,1,0,Partial College,Clerical,1,1,2011,1-2 Miles,CA,California,US,United States,4,14913,1,Bikes,2,Road Bikes,338,Road-650
11/21/1981,37,S,M,120000,0,5,Partial High School,Professional,1,4,2011,10+ Miles,NSW,New South Wales,AU,Australia,9,20628,1,Bikes,2,Road Bikes,312,Road-150
11/8/1953,65,M,F,40000,2,1,High School,Professional,0,2,2011,2-5 Miles,BC,British Columbia,CA,Canada,6,24666,1,Bikes,2,Road Bikes,313,Road-150
2/15/1971,48,M,F,130000,4,3,Bachelors,Management,1,3,2011,2-5 Miles,CA,California,US,United States,4,12189,1,Bikes,2,Road Bikes,313,Road-150
10/14/1964,54,S,F,40000,2,0,Partial College,Clerical,0,1,2011,1-2 Miles,BC,British Columbia,CA,Canada,6,24759,1,Bikes,2,Road Bikes,314,Road-150
8/14/1958,60,M,M,60000,3,0,Graduate Degree,Management,1,2,2011,5-10 Miles,OR,Oregon,US,United States,1,12198,1,Bikes,2,Road Bikes,312,Road-150
12/30/1984,34,M,M,70000,0,0,Partial College,Skilled Manual,1,2,2011,5-10 Miles,WA,Washington,US,United States,1,15023,1,Bikes,2,Road Bikes,328,Road-650
6/22/1986,32,S,F,10000,0,0,Partial College,Manual,0,1,2011,0-1 Miles,QLD,Queensland,AU,Australia,9,20983,1,Bikes,2,Road Bikes,313,Road-150
8/25/1981,37,M,F,10000,1,1,High School,Manual,1,0,2011,2-5 Miles,NSW,New South Wales,AU,Australia,9,20989,1,Bikes,2,Road Bikes,311,Road-150
9/30/1975,43,M,F,110000,0,5,High School,Management,1,4,2011,10+ Miles,VIC,Victoria,AU,Australia,9,20627,1,Bikes,2,Road Bikes,312,Road-150
6/18/1980,38,M,F,40000,0,0,Graduate Degree,Clerical,1,0,2011,0-1 Miles,59,Nord,FR,France,7,13558,1,Bikes,2,Road Bikes,310,Road-150
5/14/1979,39,S,F,50000,1,0,Graduate Degree,Skilled Manual,1,0,2011,0-1 Miles,CA,California,US,United States,4,12881,1,Bikes,2,Road Bikes,313,Road-150
4/8/1941,78,S,F,50000,2,0,Graduate Degree,Management,1,2,2011,5-10 Miles,OR,Oregon,US,United States,1,12179,1,Bikes,2,Road Bikes,310,Road-150
8/18/1945,73,M,F,130000,2,3,Bachelors,Management,1,4,2011,2-5 Miles,WA,Washington,US,United States,1,12208,1,Bikes,2,Road Bikes,314,Road-150
7/9/1980,38,S,M,30000,0,0,Partial College,Clerical,0,1,2011,2-5 Miles,NW,Nordrhein-Westfalen,DE,Germany,8,19518,1,Bikes,2,Road Bikes,328,Road-650
11/17/1959,59,S,F,90000,4,2,High School,Professional,1,1,2011,10+ Miles,93,Seine Saint Denis,FR,France,7,19051,1,Bikes,2,Road Bikes,328,Road-650
8/13/1964,54,M,F,30000,1,0,Partial College,Clerical,1,1,2011,5-10 Miles,WA,Washington,US,United States,1,12764,1,Bikes,2,Road Bikes,310,Road-150
3/19/1984,35,S,M,60000,0,0,Partial College,Skilled Manual,0,2,2011,1-2 Miles,CA,California,US,United States,4,15005,1,Bikes,2,Road Bikes,342,Road-650
5/5/1985,34,S,F,10000,0,0,Partial College,Manual,0,1,2011,0-1 Miles,NSW,New South Wales,AU,Australia,9,12241,1,Bikes,1,Mountain Bikes,347,Mountain-100
8/3/1984,34,S,M,10000,0,0,Partial College,Manual,0,1,2011,2-5 Miles,SA,South Australia,AU,Australia,9,12242,1,Bikes,1,Mountain Bikes,349,Mountain-100
11/13/1956,62,M,F,20000,2,1,Partial High School,Clerical,1,2,2011,1-2 Miles,QLD,Queensland,AU,Australia,9,25941,1,Bikes,2,Road Bikes,320,Road-650
9/21/1969,49,S,M,20000,2,0,Partial College,Manual,0,1,2011,2-5 Miles,75,Seine (Paris),FR,France,7,28504,1,Bikes,1,Mountain Bikes,349,Mountain-100
10/30/1982,36,S,F,60000,1,0,Graduate Degree,Skilled Manual,1,0,2011,1-2 Miles,CA,California,US,United States,4,12886,1,Bikes,2,Road Bikes,310,Road-150
5/8/1968,51,S,F,80000,2,1,Bachelors,Management,0,0,2011,0-1 Miles,BC,British Columbia,CA,Canada,6,24386,1,Bikes,2,Road Bikes,311,Road-150
4/23/1962,57,S,F,60000,2,0,High School,Professional,0,2,2011,1-2 Miles,BC,British Columbia,CA,Canada,6,24392,1,Bikes,2,Road Bikes,313,Road-150
12/24/1945,73,M,F,130000,2,3,Bachelors,Management,1,4,2011,0-1 Miles,CA,California,US,United States,4,12209,1,Bikes,2,Road Bikes,311,Road-150
12/17/1960,58,S,M,60000,2,0,High School,Professional,0,2,2011,1-2 Miles,BC,British Columbia,CA,Canada,6,24418,1,Bikes,2,Road Bikes,313,Road-150
5/22/1968,50,M,M,110000,2,4,Partial College,Professional,1,3,2011,5-10 Miles,91,Essonne,FR,France,7,19028,1,Bikes,2,Road Bikes,342,Road-650
9/11/1961,57,M,F,120000,3,4,High School,Professional,1,4,2011,5-10 Miles,BY,Bayern,DE,Germany,8,19904,1,Bikes,2,Road Bikes,340,Road-650
1/2/1959,60,S,F,70000,3,0,Graduate Degree,Management,0,2,2011,1-2 Miles,WA,Washington,US,United States,1,26116,1,Bikes,1,Mountain Bikes,351,Mountain-100
10/12/1976,42,S,F,100000,0,5,High School,Management,1,3,2011,10+ Miles,QLD,Queensland,AU,Australia,9,20624,1,Bikes,2,Road Bikes,313,Road-150
9/28/1984,34,S,F,10000,0,0,Partial College,Manual,1,1,2011,1-2 Miles,NSW,New South Wales,AU,Australia,9,20814,1,Bikes,2,Road Bikes,314,Road-150
3/1/1965,54,M,F,20000,2,0,Partial College,Manual,1,1,2011,0-1 Miles,ENG,England,GB,United Kingdom,10,15660,1,Bikes,2,Road Bikes,310,Road-150
11/2/1985,33,S,F,30000,0,0,High School,Skilled Manual,0,2,2011,0-1 Miles,BC,British Columbia,CA,Canada,6,24491,1,Bikes,2,Road Bikes,312,Road-150
9/19/1966,52,M,M,40000,1,0,Partial College,Clerical,1,1,2011,1-2 Miles,CA,California,US,United States,4,12770,1,Bikes,2,Road Bikes,310,Road-150
9/24/1978,40,M,M,50000,1,0,Graduate Degree,Skilled Manual,1,0,2011,0-1 Miles,CA,California,US,United States,4,12882,1,Bikes,2,Road Bikes,312,Road-150
12/23/1980,38,S,M,40000,3,3,Partial College,Clerical,1,1,2011,1-2 Miles,CA,California,US,United States,4,12756,1,Bikes,2,Road Bikes,313,Road-150
1/7/1960,59,M,F,70000,3,1,High School,Professional,1,1,2011,5-10 Miles,CA,California,US,United States,4,26111,1,Bikes,1,Mountain Bikes,351,Mountain-100
1/9/1986,33,M,M,20000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,NSW,New South Wales,AU,Australia,9,20816,1,Bikes,2,Road Bikes,314,Road-150
8/14/1982,36,S,F,20000,0,0,Partial College,Manual,1,0,2011,0-1 Miles,NSW,New South Wales,AU,Australia,9,12253,1,Bikes,1,Mountain Bikes,347,Mountain-100
2/10/1957,62,S,M,20000,2,1,Partial High School,Clerical,1,2,2011,5-10 Miles,NSW,New South Wales,AU,Australia,9,25940,1,Bikes,2,Road Bikes,334,Road-650
12/17/1965,53,M,F,30000,3,0,Bachelors,Clerical,1,0,2011,0-1 Miles,NW,Nordrhein-Westfalen,DE,Germany,8,15063,1,Bikes,2,Road Bikes,311,Road-150
9/4/1961,57,M,M,40000,1,0,Partial College,Clerical,1,1,2011,0-1 Miles,OR,Oregon,US,United States,1,12784,1,Bikes,2,Road Bikes,314,Road-150
11/10/1960,58,M,M,40000,2,1,Partial High School,Skilled Manual,1,2,2011,2-5 Miles,BC,British Columbia,CA,Canada,6,24671,1,Bikes,2,Road Bikes,313,Road-150
10/19/1970,48,S,F,20000,3,0,Partial High School,Clerical,0,2,2011,1-2 Miles,WA,Washington,US,United States,1,12423,1,Bikes,2,Road Bikes,310,Road-150
11/30/1950,68,S,F,70000,5,1,High School,Professional,1,2,2011,10+ Miles,75,Seine (Paris),FR,France,7,19041,1,Bikes,2,Road Bikes,338,Road-650
9/9/1965,53,S,M,120000,5,4,High School,Professional,1,3,2011,5-10 Miles,CA,California,US,United States,4,26106,1,Bikes,1,Mountain Bikes,348,Mountain-100
8/3/1976,42,S,F,90000,0,0,Bachelors,Professional,0,3,2011,10+ Miles,NSW,New South Wales,AU,Australia,9,20620,1,Bikes,2,Road Bikes,312,Road-150
8/4/1984,34,S,F,10000,0,0,Partial College,Manual,1,1,2011,2-5 Miles,NSW,New South Wales,AU,Australia,9,20815,1,Bikes,2,Road Bikes,310,Road-150
5/13/1975,44,S,F,40000,0,0,Graduate Degree,Clerical,1,0,2011,0-1 Miles,77,Seine et Marne,FR,France,7,13556,1,Bikes,2,Road Bikes,311,Road-150
6/17/1959,59,M,F,110000,2,5,Partial College,Professional,1,2,2011,10+ Miles,SL,Saarland,DE,Germany,8,11427,1,Bikes,1,Mountain Bikes,344,Mountain-100
9/18/1971,47,M,F,40000,1,0,Partial College,Clerical,1,1,2011,1-2 Miles,CA,California,US,United States,4,12774,1,Bikes,2,Road Bikes,310,Road-150
1/20/1943,76,M,M,70000,4,0,Graduate Degree,Management,1,2,2011,10+ Miles,CA,California,US,United States,4,12200,1,Bikes,2,Road Bikes,314,Road-150
1/31/1983,36,S,M,20000,0,0,Partial College,Manual,0,0,2011,0-1 Miles,QLD,Queensland,AU,Australia,9,20822,1,Bikes,2,Road Bikes,314,Road-150
5/25/1983,35,S,F,100000,0,5,High School,Management,1,3,2011,10+ Miles,VIC,Victoria,AU,Australia,9,20617,1,Bikes,2,Road Bikes,310,Road-150
10/20/1974,44,M,M,110000,4,5,Partial College,Professional,1,2,2011,10+ Miles,BY,Bayern,DE,Germany,8,11431,1,Bikes,1,Mountain Bikes,347,Mountain-100
9/3/1979,39,M,F,40000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,ENG,England,GB,United Kingdom,10,11549,1,Bikes,1,Mountain Bikes,345,Mountain-100
2/8/1971,48,M,F,20000,3,0,Partial High School,Clerical,0,2,2011,1-2 Miles,OR,Oregon,US,United States,1,12766,1,Bikes,2,Road Bikes,311,Road-150
1/9/1950,69,M,M,30000,4,0,High School,Professional,1,2,2011,10+ Miles,BC,British Columbia,CA,Canada,6,24646,1,Bikes,2,Road Bikes,310,Road-150
3/19/1967,52,M,M,40000,1,0,Partial College,Clerical,1,1,2011,1-2 Miles,WA,Washington,US,United States,1,12780,1,Bikes,2,Road Bikes,310,Road-150
8/30/1975,43,M,F,70000,4,0,Graduate Degree,Professional,1,0,2011,0-1 Miles,OR,Oregon,US,United States,1,12917,1,Bikes,2,Road Bikes,313,Road-150
4/23/1959,60,S,M,20000,2,0,High School,Manual,0,2,2011,1-2 Miles,OR,Oregon,US,United States,1,12418,1,Bikes,2,Road Bikes,310,Road-150
5/23/1964,54,M,M,60000,4,0,Graduate Degree,Skilled Manual,1,0,2011,1-2 Miles,WA,Washington,US,United States,1,12452,1,Bikes,2,Road Bikes,313,Road-150
12/8/1940,78,S,M,130000,2,3,Graduate Degree,Management,0,3,2011,2-5 Miles,CA,California,US,United States,4,26097,1,Bikes,1,Mountain Bikes,350,Mountain-100
2/11/1974,45,M,F,40000,1,0,Partial College,Clerical,1,1,2011,1-2 Miles,CA,California,US,United States,4,14914,1,Bikes,2,Road Bikes,330,Road-650
4/21/1986,33,S,F,20000,0,0,Partial College,Skilled Manual,0,2,2011,1-2 Miles,CA,California,US,United States,4,15017,1,Bikes,2,Road Bikes,328,Road-650
7/16/1985,33,M,F,20000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,NSW,New South Wales,AU,Australia,9,20985,1,Bikes,2,Road Bikes,312,Road-150
4/9/1982,37,M,F,10000,1,1,High School,Manual,1,0,2011,2-5 Miles,NSW,New South Wales,AU,Australia,9,20990,1,Bikes,2,Road Bikes,313,Road-150
8/26/1962,56,M,M,80000,1,0,Partial College,Skilled Manual,1,1,2011,5-10 Miles,QLD,Queensland,AU,Australia,9,12010,1,Bikes,1,Mountain Bikes,351,Mountain-100
5/6/1965,54,S,F,40000,3,0,Partial High School,Clerical,0,2,2011,5-10 Miles,QLD,Queensland,AU,Australia,9,25948,1,Bikes,2,Road Bikes,326,Road-650
2/16/1980,39,M,M,50000,2,2,Bachelors,Skilled Manual,1,0,2011,2-5 Miles,CA,California,US,United States,4,12904,1,Bikes,2,Road Bikes,310,Road-150
6/7/1966,52,M,M,100000,3,2,Partial College,Professional,1,4,2011,1-2 Miles,OR,Oregon,US,United States,1,12184,1,Bikes,2,Road Bikes,314,Road-150
12/16/1964,54,M,M,30000,1,0,Bachelors,Skilled Manual,1,1,2011,5-10 Miles,CA,California,US,United States,4,12762,1,Bikes,2,Road Bikes,310,Road-150
7/24/1960,58,M,M,90000,2,1,High School,Professional,1,1,2011,10+ Miles,CA,California,US,United States,4,26096,1,Bikes,1,Mountain Bikes,344,Mountain-100
5/9/1982,37,M,M,100000,0,5,High School,Management,1,3,2011,10+ Miles,NSW,New South Wales,AU,Australia,9,20625,1,Bikes,2,Road Bikes,312,Road-150
9/29/1983,35,S,M,30000,4,4,Partial College,Clerical,1,1,2011,0-1 Miles,HE,Hessen,DE,Germany,8,14978,1,Bikes,2,Road Bikes,311,Road-150
8/16/1957,61,M,M,30000,3,0,High School,Skilled Manual,1,2,2011,5-10 Miles,NSW,New South Wales,AU,Australia,9,25945,1,Bikes,2,Road Bikes,320,Road-650
1/25/1976,43,S,M,40000,2,2,Partial College,Clerical,1,0,2011,1-2 Miles,ENG,England,GB,United Kingdom,10,11494,1,Bikes,1,Mountain Bikes,347,Mountain-100
9/17/1960,58,M,M,40000,1,0,Partial College,Clerical,1,1,2011,0-1 Miles,WA,Washington,US,United States,1,12769,1,Bikes,2,Road Bikes,311,Road-150
10/22/1962,56,M,F,40000,1,0,Partial College,Clerical,1,1,2011,0-1 Miles,CA,California,US,United States,4,12789,1,Bikes,2,Road Bikes,311,Road-150
3/28/1947,72,M,M,70000,5,0,Graduate Degree,Management,1,2,2011,10+ Miles,WA,Washington,US,United States,1,12707,1,Bikes,2,Road Bikes,313,Road-150
9/1/1971,47,S,F,60000,0,0,Graduate Degree,Skilled Manual,1,0,2011,1-2 Miles,OR,Oregon,US,United States,1,12761,1,Bikes,2,Road Bikes,312,Road-150
3/22/1964,55,M,M,60000,4,0,Graduate Degree,Skilled Manual,1,0,2011,0-1 Miles,CA,California,US,United States,4,12450,1,Bikes,2,Road Bikes,312,Road-150
11/10/1975,43,S,F,10000,1,1,High School,Manual,0,1,2011,1-2 Miles,78,Yveline,FR,France,7,13536,1,Bikes,2,Road Bikes,313,Road-150
2/23/1981,38,M,M,40000,0,0,Graduate Degree,Clerical,0,0,2011,0-1 Miles,ENG,England,GB,United Kingdom,10,15668,1,Bikes,2,Road Bikes,313,Road-150
